eclipse/keyple-integration-java-test	Eclipse Keyple™ Project: java integration tests / internal to the project	public	2023-05-23T15:15:34Z
eclipse/sisu.mojos	Sisu Mojos	public	2023-05-21T15:21:53Z
eclipse/streamsheets	An open-source tool for processing stream data using a spreadsheet-like interface.	public	2023-05-17T22:59:30Z
eclipse/amalgam		public	2023-05-10T09:50:02Z
eclipse/org.eclipse.emf.diffmerge.patterns		public	2023-05-05T13:13:28Z
eclipse/org.eclipse.emf.diffmerge.coevolution		public	2023-05-05T13:13:19Z
eclipse/xsemantics	Xsemantics is a DSL (implemented in Xtext itself) for writing type systems, reduction rules, interpreters (and in general relation rules) for languages implemented in Xtext. It then generates Java code that can be used in your language implemented in Xtext for scoping and validation (it can also generate a validator in Java).	public	2023-05-03T14:46:03Z
eclipse/keyple-java-example	Eclipse Keyple™ Project: use case examples of the Keyple Java components for end users	public	2023-04-27T15:55:06Z
eclipse/hara-ddiclient	Hara-ddiclient is a Kotlin library that facilitates and speeds up the development of DDI API clients for devices connecting to hawkBit servers.	public	2023-04-26T12:53:17Z
eclipse/elk-models	Eclipse Layout Kernel - Test models	public	2023-04-21T12:20:50Z
eclipse/xtext-gradle	xtext-gradle	public, archived	2023-04-21T07:05:16Z
eclipse/xtext-core	xtext-core	public, archived	2023-04-20T10:20:29Z
eclipse/xtext-umbrella		public, archived	2023-04-20T10:17:42Z
eclipse/xtext-maven	xtext-maven	public, archived	2023-04-20T10:17:30Z
eclipse/xtext-web	xtext-web	public, archived	2023-04-20T10:17:20Z
eclipse/xtext-xtend	xtext-xtend	public, archived	2023-04-20T10:17:02Z
eclipse/xtext-eclipse	xtext-eclipse	public, archived	2023-04-20T10:16:52Z
eclipse/xtext-extras	xtext-extras	public, archived	2023-04-20T10:16:40Z
eclipse/xtext-lib	Eclipse Xtext™ Libraries	public, archived	2023-04-20T10:16:12Z
eclipse/xtext-archive		public	2023-04-20T06:38:25Z
eclipse/paho.mqtt.testing	An Eclipse Paho project - a Python broker for testing	public	2023-04-13T15:07:25Z
eclipse/oneofour	oneofour	public	2023-04-08T17:16:24Z
eclipse/jbom		public	2023-04-07T01:41:29Z
eclipse/iottestware.dashboard	iottestware dashboard	public	2023-04-01T11:42:53Z
eclipse/capella-tools		public	2023-03-02T15:17:55Z
eclipse/capella-requirements-vp	This add-on allows importing a set of requirements from a ReqIF file	public	2023-03-02T12:42:55Z
